accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0.6576215028762817,1.5298268795013428,0.8587152361869812,0.8165374398231506,1.1479415893554688,0.9534883499145508
0.804928719997406,1.135359287261963,0.9537588357925415,0.8472222089767456,1.0591583251953125,0.9638242721557617
0.8331025838851929,1.066034197807312,0.964073121547699,0.8611111044883728,1.0147446393966675,0.9722222089767456
0.8381558656692505,1.050409197807312,0.9653190970420837,0.8756459951400757,0.9855248332023621,0.975452184677124
0.8503391742706299,1.0242321491241455,0.9714800119400024,0.887273907661438,0.9590837955474854,0.9760981798171997
0.8575384020805359,1.0086393356323242,0.9719645380973816,0.8833979368209839,0.964863121509552,0.9757751822471619
0.854284942150116,1.0040020942687988,0.9724491238594055,0.8885658979415894,0.950445294380188,0.9783591628074646
0.8612072467803955,1.0005851984024048,0.9742489457130432,0.8856589198112488,0.9582440853118896,0.9777131676673889
0.8756057024002075,0.962365984916687,0.9781254529953003,0.9085917472839355,0.9006093740463257,0.9832041263580322
0.8965803384780884,0.9171105623245239,0.9844939708709717,0.9195736646652222,0.8739630579948425,0.9870800971984863
0.9082791209220886,0.8956842422485352,0.9849785566329956,0.9263566136360168,0.8511433005332947,0.987726092338562
0.9192163944244385,0.8670603632926941,0.9887858033180237,0.9308785796165466,0.8347033262252808,0.9906330704689026
0.9285615682601929,0.845024049282074,0.9901010394096375,0.932170569896698,0.8288167119026184,0.9903100728988647
0.9269694089889526,0.8409342169761658,0.9912778735160828,0.9379844665527344,0.812588632106781,0.9928940534591675
0.9372144341468811,0.8202996850013733,0.9921085238456726,0.9431524276733398,0.7999684810638428,0.993863046169281
0.9398449659347534,0.8098259568214417,0.9932160973548889,0.9450904130935669,0.7938976287841797,0.9932170510292053
0.9426831007003784,0.8028460741043091,0.9935622215270996,0.948966383934021,0.786078155040741,0.9941860437393188
0.9425446391105652,0.7989972829818726,0.9943236708641052,0.950904369354248,0.7790386080741882,0.9945090413093567
0.946282684803009,0.7919856905937195,0.994254469871521,0.9534883499145508,0.7725014090538025,0.9954780340194702
0.9484978318214417,0.7838523387908936,0.9946697950363159,0.9541343450546265,0.7680524587631226,0.9958010315895081
0.9503668546676636,0.7797844409942627,0.9949467182159424,0.9554263353347778,0.7653142213821411,0.9948320388793945
0.9533435106277466,0.7747031450271606,0.9957773685455322,0.9554263353347778,0.7628684043884277,0.9954780340194702
0.9518205523490906,0.7706669569015503,0.9957773685455322,0.9563953280448914,0.7599257826805115,0.9954780340194702
0.9525820016860962,0.7686883211135864,0.9959158301353455,0.9563953280448914,0.7573171854019165,0.9951550364494324
0.9540356993675232,0.7688705325126648,0.9953620433807373,0.9580103158950806,0.756600022315979,0.9954780340194702
0.9557663202285767,0.7660452127456665,0.9957773685455322,0.9586563110351562,0.7547626495361328,0.9958010315895081
0.9558355212211609,0.763340175151825,0.9952928423881531,0.9586563110351562,0.753960371017456,0.9951550364494324
0.9533435106277466,0.7642232775688171,0.9961926937103271,0.9583333134651184,0.7537241578102112,0.9958010315895081
